time[seconds]	end[kBq/ml]	NAC.L	NAC.R	Striatum.L	Striatum.R	ACC.L	ACC.R	mPFC.L	mPFC.R	MCortex.L	MCortex.R	oFC.L	oFC.R	Midbrain.L	Midbrain.R	VTA.L	VTA.R	Thal.L	Thal.R	DMS.R	DMS.L	VLS.R	VLS.L
0	10	109.9053226	102.0352373	93.79529443	95.18324354	81.45764984	80.43334636	150.1346231	67.70134034	48.79789855	94.55729011	114.5558268	69.10496298	127.0675741	147.0985374	111.3713235	178.8532633	99.17794992	129.0741307	0.004160531	0.168423822	0.017812797	1.17E-07
10	20	282.3665159	300.0763111	293.6389993	261.5799813	220.6155634	226.5096644	240.1749312	268.0478134	199.1526042	232.3053669	272.668113	243.5746821	342.3663862	362.87296	248.7338977	370.1576349	301.6080847	358.2016605	102.2423257	185.2788321	256.4205832	123.0984757
20	30	275.5839936	318.9243778	327.7943196	276.2135103	308.1080543	313.4882335	337.1421182	304.0152844	240.0322909	274.742128	292.9653851	279.58451	476.1585868	388.992492	391.7662226	340.6433938	377.4734491	401.306814	226.3933141	323.595485	272.2655183	289.4383238
30	40	391.1127869	254.1310412	307.9053195	349.49378	248.1997784	298.068314	446.5251825	376.6128264	218.9498845	274.9379135	408.3150046	264.3650346	430.3537505	457.4224193	359.7106925	416.461191	369.1310787	376.0328868	226.1899636	372.6976345	304.0622789	259.7400931
40	50	373.4095199	377.8600244	321.7960634	343.8437856	310.4468762	347.8527641	368.6146744	301.459284	279.9418769	324.4805741	413.1402845	269.2949194	380.6608794	506.0782523	359.1912234	555.0980416	388.2632	519.8395423	388.8159596	278.964901	273.4753232	351.5686324
50	60	297.3248315	311.2809263	345.6696345	376.1994174	404.4330996	339.6423988	422.7392928	363.482721	334.9026601	287.1810687	408.4748696	393.07101	440.5210517	452.941603	339.8049609	417.9988799	431.0892335	471.6719778	282.4181754	361.2325156	251.5736193	287.5891275
60	80	275.419991	351.1148246	388.0543552	395.2891758	412.57239	377.3490143	401.3871143	389.8286262	304.0563234	285.2728952	317.4100741	355.9388479	508.648903	460.19379	433.7562751	381.3380681	491.8643998	475.8446495	314.969519	327.9583696	396.0439318	286.0758708
80	100	304.8397107	391.0016537	454.713422	371.144959	366.9139638	372.1375575	358.0745592	329.3379435	323.546731	319.8956127	303.4991253	312.6564515	411.221292	517.5820626	386.8136576	345.8832315	442.2452395	468.377031	402.2722181	355.7711516	398.1211228	459.057528
100	120	367.7340379	354.9643643	392.0405612	382.9391121	373.3127612	356.9620021	402.4654672	422.9521805	331.8155439	312.5554632	352.9657152	345.1882357	489.8134329	528.6262306	378.8355194	454.6792763	471.7868808	539.025238	365.6125252	406.1328664	386.9902653	335.9946836
120	140	328.123172	346.3327291	424.154497	379.0101322	351.9806577	380.7793682	411.7076603	359.1573256	340.144061	339.8539379	363.0849589	324.8382781	516.3987064	489.6404808	440.0192057	413.941387	473.851272	514.5416248	403.0724712	404.5163741	408.3462585	355.5733327
140	160	328.5220989	297.3970405	405.5102365	445.4772271	391.2243797	378.7451663	393.1274348	399.5192749	373.1216956	325.4277801	364.4027414	337.9769651	551.5089261	465.6764594	485.2069865	433.5548808	539.9315889	532.1234605	421.3605549	453.4498678	386.2582903	458.4262403
160	180	364.0340651	327.77595	432.9622176	433.4933142	390.5702697	372.9147845	395.2747927	330.1120135	336.8200283	341.643316	351.8403774	355.6350248	543.0943774	538.8200738	480.888763	437.7916088	546.6785891	456.244917	375.5812052	398.7912147	478.977034	523.07815
180	240	369.7276913	359.7824418	435.3987987	431.2148501	393.66183	368.2611387	494.1779057	474.758573	356.1834879	346.0309901	324.0120435	371.6759536	504.1211018	546.9259875	413.4808864	416.8020381	526.6735242	496.9895492	355.3142853	457.2397032	493.1600529	414.2519162
240	300	390.0037543	404.7351757	476.0068177	423.7231373	394.6013125	408.167767	451.2150247	501.1546199	336.738073	335.0810677	336.2107576	394.7557832	551.7020146	548.8025619	466.9054826	444.4607913	520.1425379	534.6695307	407.3813614	472.0322595	454.7231569	431.1561883
300	360	361.9697659	365.4967866	475.5896924	447.4680218	426.4087393	424.5914093	484.6401341	506.892687	354.1720581	349.7929657	345.288703	372.2097665	564.9340277	582.6821034	471.2110175	474.7751541	538.4185112	590.8599195	499.5286307	544.8997338	496.6728786	438.1245627
360	420	413.9603893	409.2780868	466.9811571	469.384172	436.5387714	427.7756828	482.0248279	473.3656086	365.1706204	369.7262815	388.0359074	382.3343431	534.2148841	550.6578659	421.2454626	456.9056166	552.9971169	562.8547411	472.64485	499.5763095	493.5887684	544.6107227
420	480	416.5083291	408.2864091	503.0148396	468.3983444	439.5556402	435.1964083	501.4358854	510.3123751	381.9450707	366.1813004	384.7920523	414.0434174	516.3328724	624.4878943	447.0361926	450.7235993	586.4057678	558.8278972	450.6723957	480.5707201	469.4039648	605.1603103
480	540	410.5692048	429.9332161	503.2463408	485.739485	515.9335165	495.7504731	588.998547	530.8400048	404.0532671	381.4361754	369.8828976	401.6424814	616.0022401	553.1087404	472.8068474	507.7897514	608.3697915	616.7772909	440.7885136	472.7975311	509.8693122	560.2460712
