start[seconds]	end[kBq/cc]	AIF
0	10	874.8512962
10	20	352.4144634
20	30	219.5309003
30	40	203.9099611
40	50	185.2251475
50	60	132.687652
60	80	106.6996246
80	100	97.17854795
100	120	77.73386716
120	140	63.61942104
140	160	59.78253639
160	180	62.46277951
180	240	50.37180013
240	300	54.52839827
300	360	53.16789273
360	420	56.42736941
420	480	59.39997975
480	540	62.81362069
540	660	63.47301691
660	780	59.59177475
780	900	52.52763793
900	1020	56.01323298
1020	1140	56.64265033
1140	1260	57.47852839
1260	1380	52.13879575
1380	1500	56.61921633
1500	1800	51.03131846
1800	2100	47.80601845
2100	2400	45.94438463
2400	2700	42.04954439
2700	3000	46.08316165
3000	3300	33.29570033
3300	3600	29.7792348
