start[seconds]	end[kBq/cc]	NAC.L	NAC.R	Striatum.L	Striatum.R	ACC.L	ACC.R	mPFC.L	mPFC.R	MCortex.L	MCortex.R	oFC.L	oFC.R	Midbrain.L	Midbrain.R	VTA.L	VTA.R	Thal.L	Thal.R	DMS.R	DMS.L	VLS.R	VLS.L
0	10	124.4939295	133.3219862	117.3885638	135.1122784	78.46854489	85.81853976	136.5558993	155.4756819	78.10505946	99.10010539	89.5130649	110.2899463	154.478477	179.2280438	122.2800453	161.3219885	145.4074688	148.433979	136.282043	84.37613184	130.9729969	168.0170212
10	20	171.9285392	199.0011145	198.5075003	230.3253441	142.451407	156.0695186	193.0571014	256.5374745	140.3271977	175.9279792	185.18788	221.7563452	286.4629069	260.1129643	243.0294569	212.756666	258.8110617	259.7671318	248.3411756	188.2166608	222.7541026	211.2364866
20	30	231.281147	198.9539256	242.3747107	273.3650034	149.9843483	177.7670205	237.7607723	233.9672317	163.3801468	210.804312	191.3232882	219.3712915	303.7028129	282.5475641	247.237623	275.5960333	295.6410039	267.7082583	262.1845485	288.0644095	320.5815136	231.2794749
30	40	200.4897286	266.6621814	238.9231842	268.1884803	157.0943105	185.9768754	233.8662271	257.3752975	170.8945221	203.573675	183.2416847	245.1161028	317.7478855	351.6004958	263.4639833	263.1514292	276.5853475	317.7289955	244.8724875	236.6626005	282.7613025	276.6738102
40	50	219.2063281	275.3089597	269.2654964	290.0984959	158.4967221	235.8957599	237.6992908	261.0095214	209.9186502	196.4499664	223.3276991	257.6197719	317.5103792	356.2776077	327.1626825	249.5872395	321.6684203	296.9062896	269.2051888	281.6346465	315.1335611	319.2704738
50	60	232.8390162	349.3606451	290.7805208	322.2668879	228.1678403	186.0600187	294.9432103	316.5609011	263.3564089	228.5046555	249.7227924	259.249867	333.9397643	394.6134283	268.9684257	334.8902679	319.5579468	304.2595213	314.7803572	320.5321185	337.8747663	327.8837962
60	80	263.0460357	279.036642	285.1961319	332.4331321	199.7418851	229.1879116	271.8447977	311.5495764	264.2741565	236.4486877	253.9276305	256.7197496	347.3846473	367.8718051	282.8863336	303.1649674	336.5899799	320.4296678	343.97208	317.908456	355.6100288	255.4928832
80	100	288.7474964	273.0279496	262.0253346	337.4829822	193.7716955	223.7107813	332.8177291	331.2308036	258.7516138	259.9594604	243.5792759	256.903465	400.1636993	405.5276387	343.3938636	330.1596442	375.1032161	347.9531627	334.4705155	277.2757478	375.5409935	238.6686355
100	120	259.65382	284.2889998	308.5765262	336.6512216	192.2192608	219.9149226	314.8162633	378.4529499	250.9948821	256.3753047	248.6462311	279.2827302	394.1558446	383.8669075	340.9135487	353.9213363	371.5017312	391.7080189	356.8254674	325.676074	324.1305833	327.6234747
120	140	289.0988236	310.7187627	315.4570491	359.7859704	229.8785745	207.3276694	346.8232507	336.9778262	275.3000385	236.1487667	268.2406988	294.2569629	402.5580682	418.6222544	393.0414364	380.0867731	361.926019	359.2354645	364.5121086	339.7799637	361.9870842	301.3052531
140	160	288.2761925	275.9591906	318.2043697	350.8452309	215.4362509	203.4716012	338.6796758	354.9982546	253.47602	251.2413731	243.0744709	254.0457245	403.063775	363.9842389	362.5332145	315.9979198	355.5158994	354.3596539	372.6513122	332.452788	375.8759001	321.1494856
160	180	247.8536444	299.2952404	344.6074509	351.5265044	189.5532262	237.642219	318.6115027	348.9312862	277.9893294	264.2815723	242.923115	287.3851147	372.1667576	416.2866215	307.4183821	362.6292906	370.4179518	402.2199717	386.9599296	287.9375187	322.2092822	361.0324934
180	240	334.8951097	266.9841613	353.052824	368.3313182	233.2868834	233.9248803	327.7410135	343.4561461	269.8087589	248.7534961	262.7628896	294.694769	402.9884605	382.9138575	331.7494519	315.1724612	394.6187473	397.514054	382.2703743	393.4257387	367.4208895	359.159256
240	300	283.8953822	294.2928506	368.0581626	389.2839395	227.8438549	225.2781882	364.0501784	391.6823502	268.5550855	270.5170088	261.2405455	302.0201683	399.6179665	392.8585649	324.8166204	331.335264	399.0240107	382.4099211	399.3559824	366.8321568	392.4621137	338.1446618
300	360	290.8736148	296.9990892	360.8051941	381.1488616	235.720412	268.5569798	377.2066028	388.3582875	292.8128946	274.9924666	271.3348655	331.5407608	421.299181	379.7833909	335.4433672	340.4817786	401.5470287	401.2016608	388.3282979	329.5256434	388.735123	335.0308082
